"","lat","long","pika.pres","marmot.pres","talus.area","elev.m","group"
"256",39.595581,-105.650398,"Present","Present",">1 ha",3950.73,"both.spp.present"
"257",40.48211,-105.90486,"Present","Absent","5001-10,000m2",3253.25,"pikas.only"
"258",39.56644,-105.72263,"Present","Absent","5001-10,000m2",3339.65,"pikas.only"
"259",40.431581,-105.625394,"Absent","Absent","5001-10,000m2",3312.97,"both.spp.absent"
"260",40.25796,-105.81144,"Absent","Absent","1001-5000m2",2622.27,"both.spp.absent"
"261",40.09469,-105.5846,"Present","Present",">1 ha",3419.47,"both.spp.present"
"262",39.36457,-106.21362,"Present","Absent","5001-10,000m2",3446.35,"pikas.only"
"264",40.26126,-105.63152,"Present","Absent",">5 ha",3436.63,"pikas.only"
"265",39.72977,-105.82229,"Present","Absent",">1 ha",3562.38,"pikas.only"
"266",40.09473,-105.58482,"Present","Absent",">1 ha",3426.99,"pikas.only"
"267",40.70444,-105.76778,"Absent","Present","5001-10,000m2",2709.03,"marmots.only"
"268",40.5975,-105.90055,"Absent","Present","1001-5000m2",3270.19,"marmots.only"
"269",40.26139,-105.63134,"Present","Present","5001-10,000m2",3438.98,"both.spp.present"
"270",40.26158,-105.63113,"Present","Present","1001-5000m2",3441.21,"both.spp.present"
"271",40.44301,-105.88984,"Present","Present","5001-10,000m2",3448.94,"both.spp.present"
"272",39.202154,-106.149909,"Present","Absent",">1 ha",3592.03,"pikas.only"
"273",39.72948,-105.82183,"Present","Present",">5 ha",3571.62,"both.spp.present"
"274",39.20751,-106.1713,"Present","Present","<1000m2",3762.66,"both.spp.present"
"275",39.207407,-106.1703,"Present","Present",">5 ha",3733.88,"both.spp.present"
"276",39.202154,-106.15,"Present","Absent",">5 ha",3592.03,"pikas.only"
"277",39.57109,-105.724,"Present","Present","5001-10,000m2",3371.28,"both.spp.present"
"278",39.38376,-106.13055,"Present","Absent",">1 ha",3778.69,"pikas.only"
"279",38.87579,-105.0726,"Present","Present","1001-5000m2",3489.85,"both.spp.present"
"280",40.55596,-105.81419,"Absent","Absent",">5 ha",3036.23,"both.spp.absent"
"282",40.192224,-105.63016,"Present","Absent",">1 ha",3239.86,"pikas.only"
"283",40.48213,-105.65655,"Present","Absent",">1 ha",3666.59,"pikas.only"
"284",40.47454,-105.65249,"Absent","Absent","1001-5000m2",3668.45,"both.spp.absent"
"285",40.19214,-105.63081,"Absent","Absent",">1 ha",3243.76,"both.spp.absent"
"286",40.1932,-105.63367,"Present","Absent",">1 ha",3160.61,"pikas.only"
"287",39.595581,-105.650398,"Present","no.data",">5 ha",3950.73,"pikas.only"
"288",40.0956,-105.5849,"Present","Absent",">1 ha",3428.03,"pikas.only"
"289",39.60074,-105.6502,"Present","Present","5001-10,000m2",4070.65,"both.spp.present"
"290",39.73891,-105.81553,"Present","Present","5001-10,000m2",3481.39,"both.spp.present"
"291",39.73109,-105.84005,"Present","Present","<1000m2",3918.57,"both.spp.present"
"292",40.55596,-105.8178,"Present","Present","5001-10,000m2",3036.7,"both.spp.present"
"293",39.75923,-105.883495,"Present","Absent",">1 ha",3738.91,"pikas.only"
"294",38.87596,-105.07231,"Present","Absent","1001-5000m2",3484.54,"pikas.only"
"295",38.85799,-105.03442,"Absent","Absent","5001-10,000m2",3365.68,"both.spp.absent"
"296",40.25786,-105.81145,"Absent","Absent","<1000m2",2621.96,"both.spp.absent"
"297",39.59643,-105.6508,"Present","Present",">1 ha",3915.15,"both.spp.present"
"298",39.20213,-106.14988,"Present","Absent",">5 ha",3592.99,"pikas.only"
"299",39.75745,-105.88273,"Present","Absent","5001-10,000m2",3803.28,"pikas.only"
"300",39.33887,-106.01007,"Present","Absent","<1000m2",4136.89,"pikas.only"
"301",40.313492,-105.703115,"Present","Absent","1001-5000m2",3750.94,"pikas.only"
"302",39.20361,-106.00559,"Present","Absent","1001-5000m2",3022.26,"pikas.only"
"303",40.43435,-105.74827,"Present","Present","5001-10,000m2",3461,"both.spp.present"
"304",40.083319,-105.58169,"Present","Absent","<1000m2",3199.02,"pikas.only"
"305",40.5558,-105.8137,"Present","Absent",">1 ha",3041.7,"pikas.only"
"306",40.258,-105.811,"Absent","Absent","1001-5000m2",2626.38,"both.spp.absent"
"307",40.26143,-105.63134,"Present","Absent","5001-10,000m2",3438.98,"pikas.only"
"308",40.0948,-105.5847,"Present","Absent","5001-10,000m2",3422.02,"pikas.only"
"309",40.26137,-105.63146,"Present","Present",">1 ha",3437.77,"both.spp.present"
"310",39.364571,-106.213625,"Present","Present","<1000m2",3446.35,"both.spp.present"
"311",40.43347,-105.74468,"Absent","Present","<1000m2",3521.19,"marmots.only"
"312",40.26126,-105.63133,"Present","Absent","5001-10,000m2",3439.07,"pikas.only"
"313",39.566896,-105.723462,"Absent","Absent","5001-10,000m2",3322,"both.spp.absent"
"314",39.3822,-106.12915,"Present","Absent",">1 ha",3760.11,"pikas.only"
"315",39.72938,-105.82273,"Present","Absent",">1 ha",3582.32,"pikas.only"
"316",39.56625,-105.72226,"Present","Absent","1001-5000m2",3341.8,"pikas.only"
"317",40.4821,-105.90483,"Present","Absent","1001-5000m2",3253.25,"pikas.only"
